topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,0.64,0.32,0.64,163112.93
nx-sc-sq,0.32,0.16,0.16,69828.71
nx-sc-sq,0.16,0.32,0.32,141326.35
nx-sc-sq,0.64,0.16,0.64,73250.09
nx-sc-sq,0.32,1,0.16,182898.78
nx-sc-sq,1,0.16,0.16,69586.89
nx-sc-sq,0.64,1,0.64,477581.26
nx-sc-sq,1,1,0.32,427434.96
nx-sc-sq,0.16,1,1,136874.21
nx-sc-sq,0.64,1,1,437762.06
nx-sc-sq,0.32,1,0.32,281284.54
nx-sc-sq,1,0.32,0.32,157061.39
nx-sc-sq,0.64,0.32,0.32,158664.31
nx-sc-sq,0.64,0.32,1,168061.97
nx-sc-sq,1,0.32,0.16,158185.64
nx-sc-sq,1,0.64,0.64,349490.41
nx-sc-sq,1,1,0.32,421582.48
nx-sc-sq,1,1,0.64,452794.08
nx-sc-sq,1,0.32,0.64,159606.37
nx-sc-sq,0.16,0.64,0.16,133835.45
nx-sc-sq,0.32,0.16,0.64,72837.14
nx-sc-sq,0.64,0.32,0.64,160631.72
nx-sc-sq,0.64,0.64,0.64,331049.32
nx-sc-sq,0.32,0.32,0.64,163077
nx-sc-sq,1,1,0.16,182220.21
nx-sc-sq,0.32,1,0.64,283069.19
nx-sc-sq,0.16,1,0.32,135814.57
nx-sc-sq,0.32,0.64,0.64,280709.11
nx-sc-sq,0.32,1,0.16,181419.58
nx-sc-sq,0.32,0.32,1,164356.79
nx-sc-sq,0.32,0.32,0.64,161112.13
nx-sc-sq,0.64,0.16,1,70716.87
nx-sc-sq,0.32,0.16,0.32,73772.63
nx-sc-sq,0.32,0.64,0.16,179457.88
nx-sc-sq,0.32,1,1,295611.82
nx-sc-sq,0.16,0.16,0.32,75363.02
nx-sc-sq,0.16,0.32,1,116000.29
nx-sc-sq,0.16,0.16,0.32,71455.06
nx-sc-sq,1,0.32,0.64,165722.5
nx-sc-sq,0.32,1,0.16,181658.18
nx-sc-sq,0.32,1,0.16,181442.64
nx-sc-sq,0.64,0.16,0.32,71764.26
nx-sc-sq,0.64,0.64,0.32,345930.17
nx-sc-sq,1,0.64,0.32,347708.87
nx-sc-sq,1,1,1,454041.55
nx-sc-sq,0.32,0.16,0.64,72132.55
nx-sc-sq,1,0.16,1,71414.96
nx-sc-sq,0.16,0.16,0.64,73443.7
nx-sc-sq,0.32,0.16,0.16,71557.22
nx-sc-sq,0.64,0.16,1,70472.21
nx-sc-sq,1,0.32,1,162854.4
nx-sc-sq,0.16,0.16,0.64,74494.36
nx-sc-sq,1,0.16,1,74066.3
nx-sc-sq,0.64,0.16,0.16,72750.02
nx-sc-sq,0.64,0.32,1,164118.79
nx-sc-sq,0.32,1,0.32,220662.27
nx-sc-sq,0.64,0.16,0.16,69851.29
nx-sc-sq,0.32,0.64,0.64,302514.41
nx-sc-sq,0.64,0.64,0.16,182033.37
nx-sc-sq,0.32,0.32,0.32,160841.77
